            configname    selected        comp_n(Na)    formation_energy    hull_dist(ALL,comp)
    SCEL2_1_2_1_0_0_0/240         0        4.00000000         -0.83728011             0.12908279
    SCEL2_1_2_1_0_0_0/241         0        4.00000000         -0.85399653             0.11236638
    SCEL2_1_2_1_0_0_0/242         0        4.00000000         -0.83532726             0.13103564
    SCEL2_1_2_1_0_0_0/243         0        4.00000000         -0.80234973             0.16401317
    SCEL2_1_2_1_0_0_0/244         0        4.00000000         -0.84765984             0.11870307
    SCEL2_1_2_1_0_0_0/245         0        4.00000000         -0.80924701             0.15711590
    SCEL2_1_2_1_0_0_0/246         0        4.00000000         -0.83720349             0.12915942
    SCEL2_1_2_1_0_0_0/247         0        4.00000000         -0.75961568             0.20674723
    SCEL2_1_2_1_0_0_0/248         0        4.00000000         -0.82240834             0.14395457
    SCEL2_1_2_1_0_0_0/249         0        4.00000000         -0.79968878             0.16667413
    SCEL2_1_2_1_0_0_0/25          0        2.00000000         0.81349803              0.81963974
    SCEL2_1_2_1_0_0_0/250         0        4.00000000         -0.82424517             0.14211773
    SCEL2_1_2_1_0_0_0/251         0        4.00000000         -0.82145890             0.14490401
    SCEL2_1_2_1_0_0_0/252         0        4.00000000         -0.78979192             0.17657099
    SCEL2_1_2_1_0_0_0/253         0        4.00000000         -0.84393168             0.12243123
    SCEL2_1_2_1_0_0_0/254         0        4.00000000         -0.76121217             0.20515074
    SCEL2_1_2_1_0_0_0/255         0        4.00000000         -0.82887999             0.13748292
    SCEL2_1_2_1_0_0_0/256         0        4.00000000         -0.84048910             0.12587381
    SCEL2_1_2_1_0_0_0/257         0        4.00000000         -0.88184383             0.08451908
    SCEL2_1_2_1_0_0_0/258         0        4.00000000         -0.82720282             0.13916009
    SCEL2_1_2_1_0_0_0/259         0        4.00000000         -0.81254154             0.15382137
    SCEL2_1_2_1_0_0_0/26          0        2.00000000         0.78995721              0.79609892
    SCEL2_1_2_1_0_0_0/260         0        4.00000000         -0.81855147             0.14781144
    SCEL2_1_2_1_0_0_0/261         0        4.00000000         -0.70754160             0.25882131
    SCEL2_1_2_1_0_0_0/262         0        4.00000000         -0.70470584             0.26165707
    SCEL2_1_2_1_0_0_0/263         0        4.00000000         -0.73869255             0.22767036
    SCEL2_1_2_1_0_0_0/264         0        4.50000000         -0.92713345             0.25771212
    SCEL2_1_2_1_0_0_0/265         0        4.50000000         -0.97061569             0.21422988
    SCEL2_1_2_1_0_0_0/266         0        4.50000000         -1.01405702             0.17078855
    SCEL2_1_2_1_0_0_0/267         0        4.50000000         -1.01782644             0.16701913
    SCEL2_1_2_1_0_0_0/268         0        4.50000000         -1.03699971             0.14784586
    SCEL2_1_2_1_0_0_0/269         0        4.50000000         -1.05308406             0.13176151
    SCEL2_1_2_1_0_0_0/27          0        2.00000000         0.85109693              0.85723863
    SCEL2_1_2_1_0_0_0/270         0        4.50000000         -1.06475038             0.12009519
    SCEL2_1_2_1_0_0_0/271         0        4.50000000         -0.86688197             0.31796360
    SCEL2_1_2_1_0_0_0/272         0        4.50000000         -1.03838989             0.14645568
    SCEL2_1_2_1_0_0_0/273         0        4.50000000         -1.03744466             0.14740091
    SCEL2_1_2_1_0_0_0/274         0        4.50000000         -1.10695347             0.07789210
    SCEL2_1_2_1_0_0_0/275         0        4.50000000         -1.14724634             0.03759923
    SCEL2_1_2_1_0_0_0/276         0        4.50000000         -1.07820235             0.10664322
    SCEL2_1_2_1_0_0_0/277         0        4.50000000         -1.03361418             0.15123139
    SCEL2_1_2_1_0_0_0/278         0        4.50000000         -1.07563571             0.10920986
    SCEL2_1_2_1_0_0_0/279         0        4.50000000         -0.96151985             0.22332572
    SCEL2_1_2_1_0_0_0/28          0        2.00000000         0.50139274              0.50753444
    SCEL2_1_2_1_0_0_0/280         0        4.50000000         -1.07834022             0.10650535
    SCEL2_1_2_1_0_0_0/281         0        4.50000000         -1.08792855             0.09691702
    SCEL2_1_2_1_0_0_0/282         0        4.50000000         -1.02021247             0.16463310
    SCEL2_1_2_1_0_0_0/283         0        4.50000000         -1.04773227             0.13711330
